Chip,Kbytes,Data EEPROM,RAM,I/O,ADC Channels,Max. Speed MHz,ADC,GPR,PINS,USART,ChipFamilyOverride,ChipSubFamily,Packages
ATtiny24A,2,128,0.12,12,8,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 14P3 14,SOIC (150mil) 14S1 14,SOIC 14S1 14,UFBGA 15CC1 15,VQFN 20M2 20"
ATtiny25,2,128,0.12,6,4,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 8P3 8,SOIC (150mil) 8S1 8,SOIC (208mil) 8S2 8"
ATtiny26,2,128,0.12,16,11,16,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 20P3 20,SOIC (300mil) 20S 20"
ATtiny261A,2,128,0.12,16,11,20,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 20P3 20,SOIC (300mil) 20S2 20,TSSOP 6G 20"
ATtiny28L,2,0,0.03,11,0,4,255,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATtiny4,0.5,0,0.03,4,0,12,255,16,6,0,121,,"SOT23 6ST1 6,UDFN / USON 8MA4 8"
ATtiny40,4,0,0.25,18,12,12,0,16,20,0,121,,"SOIC (150mil) 14S1 14,TSSOP 20X 20,VQFN 20M2 20"
ATtiny4313,4,256,0.25,18,0,20,255,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 20P3 20,SOIC (300mil) 20S 20,VQFN 20M2 20"
ATtiny43U,4,64,0.25,16,4,8,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny44,4,256,0.25,12,8,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 14P3 14,SOIC (150mil) 14S1 14"
ATtiny441,4,256,0.25,12,12,16,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (150mil) 14S1 14,VQFN 20M2 20"
ATtiny44A,4,256,0.25,12,8,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 14P3 14,SOIC (150mil) 14S1 14,SOIC 14S1 14,UFBGA 15CC1 15,VQFN 20M2 20"
ATtiny45,4,256,0.25,6,4,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 8P3 8,SOIC (208mil) 8S2 8,TSSOP 8X 8"
ATtiny461,4,256,0.25,16,11,20,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 20P3 20,SOIC (300mil) 20S2 20"
ATtiny461A,4,256,0.25,16,11,20,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 20P3 20,SOIC (300mil) 20S2 20,TSSOP 6G 20"
ATtiny48,4,64,0.25,28,8,12,1,32,-1,0,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATtiny5,0.5,0,0.03,4,4,12,255,16,6,0,121,,"SOT23 6ST1 6,UDFN / USON 8MA4 8"
ATtiny828,8,256,0.5,28,28,20,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,TQFP 32A 32"
ATtiny84,8,512,0.5,12,8,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 14P3 14,SOIC (150mil) 14S1 14"
ATtiny841,8,512,0.25,12,12,16,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (150mil) 14S1 14,VQFN 20M2 20"
ATtiny84A,8,512,0.5,12,8,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 14P3 14,SOIC (150mil) 14S1 14,UFBGA 15CC1 15,VQFN 20M2 20"
ATtiny85,8,512,0.5,6,4,20,0,32,-1,0,,,"MLF (WQFN) 20M1 20,PDIP 8P3 8,SOIC (208mil) 8S2 8"
ATtiny861,8,512,0.5,16,11,20,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 20P3 20,SOIC (300mil) 20S2 20"
ATtiny861A,8,512,0.5,16,11,20,0,32,-1,0,,,"MLF (VQFN) 32M1-A 32,PDIP 20P3 20,SOIC (300mil) 20S2 20,TSSOP 6G 20"
ATtiny87,8,512,0.5,16,11,16,0,32,-1,0,,,"SOIC TG 20,TSSOP 6G 20,VQFN (Sawn) PN 32"
ATtiny88,8,64,0.5,28,8,12,1,32,-1,0,,,"MLF (VQFN) 28M1 28,MLF (VQFN) 32M1-A 32,PDIP 28P3 28,TQFP 32A 32"
ATtiny9,1,0,0.03,4,0,12,255,16,6,0,121,,"SOT23 6ST1 6,UDFN / USON 8MA4 6,SOIC (150mil) 14S1 8"
ATtiny1604,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny1606,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny1607,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny1614,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny1616,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny1617,16,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny202,2,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny204,2,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny212,2,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny214,2,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny3216,32,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny3217,32,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny402,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny404,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny406,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny412,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny414,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny416,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny417,4,256,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny804,8,128,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny806,8,128,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny807,8,128,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny814,8,128,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny816,8,128,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
ATtiny817,8,128,1,18,12,12,0,32,-1,0,,,"MLF (WQFN) 20M1 20,SOIC (300mil) 20S2 20"
