Chip,SubChipFamily,KWords,Data EEPROM,HEFWords,SAFWords,ProgMemRowSizeWords,RAM,I/O,ADC Channels,Max. Speed MHz,Int Oscillator (MHz),Parallel Port,USART,Pin Count,PWMTimerVariant,FixedConstants,SMTClockSourceVariant,ConfigBaseLoc,IntOSCCONFormat,READAD10BITFORCE,Stack,IDAddress,IDLength,NoBankRAM,31kSupport,SectorRAMAddress,SectorRAMAddressSize,WriteFlashBlockSize,EraseFlashBlockSize,,
PIC16C74B,,4,,0,0,,192,33,8,20,,No,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C76,,8,,0,0,,368,22,5,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C765,,8,0,0,0,,256,33,8,24,0,PSP,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C77,,8,,0,0,,368,33,8,20,,No,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C770,,2,0,0,0,,256,16,6,20,4,No,0,20,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C771,,4,,0,0,,256,16,6,20,,No,0,20,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C773,,4,0,0,0,,256,22,6,20,0,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C774,,4,0,0,0,,256,33,10,20,0,PSP,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C781,,1,0,0,0,,128,16,8,20,4,No,0,20,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C782,,2,0,0,0,,128,16,8,20,4,No,0,20,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C83,,0.5,,0,0,,36,13,0,10,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C84,,1,,0,0,,36,13,0,10,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C923,,4,,0,0,,176,52,0,8,,No,0,64,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C924,,4,,0,0,,176,52,5,8,,No,0,64,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C925,,4,0,0,0,,176,52,5,20,0,No,0,64,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16C926,,8,0,0,0,,336,52,5,20,0,No,0,64,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CE623,,0.5,,0,0,,96,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CE624,,1,,0,0,,96,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CE625,,2,,0,0,,128,13,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR54A,,0.5,,0,0,,25,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR54B,,0.5,,0,0,,25,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR54C,,0.5,,0,0,,25,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR56A,,1,0,0,0,,25,12,,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR57A,,2,0,0,0,,72,20,0,20,0,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR57B,,2,,0,0,,72,20,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR57C,,2,,0,0,,72,20,5,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR58A,,2,,0,0,,73,12,0,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR58B,,2,0,0,0,,73,12,,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR62,,2,,0,0,,128,22,0,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR620A,,0.5,0,0,0,,96,13,,20,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR63,,4,0,0,0,,192,22,0,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR64,,2,0,0,0,,128,33,0,20,0,No,0,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR65,,4,0,0,0,,192,33,0,20,,PSP,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR72,,2,0,0,0,,128,22,5,20,,No,0,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR73,,4,0,0,0,,192,22,5,20,,No,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR74,,4,0,0,0,,192,33,8,20,,No,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR76,,8,0,0,0,,368,22,5,20,0,PSP,1,28,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR77,,8,0,0,0,,368,33,8,20,0,PSP,1,40,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR83,,0.5,,0,0,,36,13,0,10,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR84,,1,,0,0,,68,13,0,10,,No,0,18,0,,0,0,,,8,,,,,0,0,-1,-1,,
PIC16CR926,,-1,,0,0,,,,,,,,0,,0,,0,0,,,16,32768,4,,,0,0,-1,-1,,
PIC16F1454,,8,0,128,0,32,1024,12,0,48,48,No,1,14,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1455,,8,0,128,0,32,1024,12,5,48,48,No,1,14,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1458,,4,0,128,0,32,512,18,9,48,16,No,1,20,0,,0,0,,,16,32768,4,,,0,0,-1,-1,,
PIC16F1459,,8,0,128,0,32,1024,18,9,48,48,No,1,20,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1503,,2,0,128,0,16,128,12,8,20,16,No,0,14,0,,0,0,2,,16,32768,4,70:7F,,0,0,16,16,,
PIC16F1507,,2,0,128,0,16,128,18,12,20,16,No,0,20,0,,0,0,2,,16,32768,4,70:7F,,0,0,16,16,,
PIC16F1508,,4,0,128,0,32,256,18,12,20,16,No,1,20,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1509,,8,0,128,0,32,512,18,12,20,16,No,1,20,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1512,,2,0,128,0,32,128,25,17,20,16,No,1,28,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1513,,4,0,128,0,32,256,25,17,20,16,No,1,28,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1516,,8,0,128,0,32,512,25,17,20,16,No,1,28,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1517,,8,0,128,0,32,512,36,28,20,16,No,1,40,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1518,,16,0,128,0,32,1024,25,17,20,16,No,1,28,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1519,,16,0,128,0,32,1024,36,28,20,16,No,1,40,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1526,,8,0,128,0,32,768,55,30,20,16,No,1,64,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1527,,16,0,128,0,32,1536,55,30,20,16,No,1,64,0,,0,0,2,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F15313,,2,0,0,128,32,256,6,5,32,32,No,1,8,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F15323,,2,0,0,128,32,256,12,11,32,32,No,1,14,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F15324,,4,0,0,128,32,512,12,11,32,32,No,1,14,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F15325,,8,0,0,128,32,1024,12,11,32,32,No,1,14,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15344,,4,0,0,128,32,512,18,17,32,32,No,1,20,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F15345,,8,0,0,128,32,1024,18,17,32,32,No,1,20,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15354,,4,0,0,128,32,512,25,24,32,32,No,1,28,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15355,,8,0,0,128,32,1024,25,24,32,32,No,1,28,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15356,,16,0,0,128,32,2048,25,24,32,32,No,1,28,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15375,,8,0,0,128,32,1024,36,35,32,32,No,1,40,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15376,,16,0,0,128,32,2048,36,35,32,32,No,1,40,0,,0,0,,,16,32768,4,70:7F,LFINT|OSCCON1|80,0,0,32,32,,
PIC16F15385,,8,0,0,128,32,1024,44,43,32,32,No,1,48,0,,0,0,,,16,32768,4,70:7F,IntOsc|OSCCON|0,0,0,32,32,,
PIC16F15386,,16,0,0,128,32,2048,44,43,32,32,No,1,48,0,,0,0,,,16,32768,4,70:7F,IntOsc|OSCCON|0,0,0,32,32,,
PIC16F1574,,4,,128,0,32,512,12,8,32,32,No,1,14,0,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1575,,8,,128,0,32,1024,12,8,32,32,No,1,14,0,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1578,,4,,128,0,32,512,18,12,32,32,No,1,20,0,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1579,,8,,128,0,32,1024,18,12,32,32,No,1,20,0,PWM16Type=1,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1613,,2,0,128,0,16,256,12,8,32,32,No,0,14,0,,1,0,,,16,32768,4,70:7F,,0,0,16,16,,
PIC16F1614,,4,0,128,0,32,512,12,8,32,32,No,1,14,1,,2,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1615,,8,0,128,0,32,1024,12,8,32,32,No,1,14,1,,2,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1618,,4,0,128,0,32,512,18,12,32,32,No,1,20,1,,2,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1619,,8,0,128,0,32,1024,18,12,32,32,No,1,20,1,,2,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1703,,2,0,128,0,16,256,12,8,32,32,No,0,14,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1704,,4,,128,0,32,512,12,8,32,32,No,1,14,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1705,,8,0,128,0,32,1024,12,8,32,32,No,1,14,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1707,,2,0,128,0,16,256,18,8,32,32,No,0,20,0,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1708,,4,0,128,0,32,512,18,12,32,32,No,1,20,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1709,,8,0,128,0,32,1024,18,12,32,32,No,1,20,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1713,,4,0,128,0,32,512,25,17,32,32,No,1,28,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
PIC16F1716,,8,0,128,0,32,1024,25,17,32,32,No,1,28,1,,0,0,,,16,32768,4,70:7F,,0,0,32,32,,
